"task_b_unlikely","task_b_almost_certainly","task_b_probably","task_b_probable","task_b_very_good_chance","task_b_probably_not","task_b_about_even","task_b_we_doubt","task_b_almost_no_chance","task_b_better_than_even","task_b_improbable","task_b_chances_are_slight","task_b_little_chance","task_b_highly_unlikely","task_b_we_believe","task_b_likely","task_b_highly_likely","id"
"","","","","","","","","","","","","","","","","",1
"","","","","","","","","","","","","","","","","",2
"","","","","","","","","","","","","","","","","",3
"20","99","80","70","85","1","50","","1","65","5","15","1","5","70","80","90",4
"","","","","","","","","","","","","","","","","",5
"30","85","60","60","75","15","50","20","10","55","","15","22","20","50","75","85",6
"","","","","","","","","","","","","","","","","",7
"80","97","65","65","85","35","50","40","2","60","95","20","5","95","75","","90",8
"0","100","80","70","90","0","50","30","0","60","10","40","20","","60","60","70",9
"","","","","","","","","","","","","","","","","",10
"","","","","","","","","","","","","","","","","",11
"60","12","23","31","22","25","34","88","79","","67","88","90","89","67","22","22",12
"80","35","42","75","20","89","29","90","86","15","89","85","90","89","","25","40",13
"10","85","65","50","90","35","50","30","5","60","20","","25","20","65","75","80",14
"","","","","","","","","","","","","","","","","",15
"10","85","60","55","","25","50","15","1","55","1","10","15","1","40","60","70",16
"","","","","","","","","","","","","","","","","",17
"","","","","","","","","","","","","","","","","",18
"","","","","","","","","","","","","","","","","",19
"10","90","70","50","80","10","50","20","5","60","10","10","","95","60","60","70",20
"10","95","80","75","80","20","50","5","2","65","10","15","5","30","50","","90",21
"30","","50","30","55","10","50","20","2","55","1","10","5","10","60","60","70",22
"18","89","70","55","75","30","51","25","2","58","1","15","10","5","80","60","",23
"","","","","","","","","","","","","","","","","",24
"5","90","60","65","85","15","50","10","","60","15","20","5","5","70","55","85",25
"10","95","60","80","","20","50","30","5","60","20","20","10","5","60","80","90",26
"","70","65","60","60","20","45","50","30","55","5","60","25","40","70","40","30",27
"5","85","55","50","55","15","45","","2","55","5","10","5","5","50","60","60",28
"","","","","","","","","","","","","","","","","",29
"25","","60","70","60","25","50","15","5","60","20","15","5","10","60","70","75",30
"10","95","60","70","75","30","50","","","51+","0","10","20","15","","80","85",31
"20","60","30","60","60","30","50","5","2","55","10","5","5","5","50","","60",32
"","","","","","","","","","","","","","","","","",33
"10","90","50","","80","5","50","10","2","60","10","30","10","5","70","70","80",34
"30","90","60","70","70","30","50","10","","60","5","5","10","1","70","70","80",35
"","","","","","","","","","","","","","","","","",36
"10","95","60","90","95","5","","30","5","55","80","10","5","5","50","60","95",37
"","","","","","","","","","","","","","","","","",38
"5","90","55","50","60","5","45","5","","60","5","2","2","80","40","65","80",39
"","","","","","","","","","","","","","","","","",40
"20","","65","80","75","10","50","20","5","55","5","40","10","95","55","70","90",41
"","","","","","","","","","","","","","","","","",42
"","","","","","","","","","","","","","","","","",43
"80","50","50","30","40","30","50","40","10","50","10","70","","90","60","40","30",44
"10","95","80","70","80","10","50","5","5","60","10","","5","95","60","65","75",45
"","","","","","","","","","","","","","","","","",46
"3","95","50","60","90","2","50","4","1","55","1","10","7","5","80","70","",47
"","","","","","","","","","","","","","","","","",48
"10","90","60","50","80","20","45","","5","55","10","5","10","5","50","60","80",49
"","","","","","","","","","","","","","","","","",50
"","","","","","","","","","","","","","","","","",51
"20","90","50","50","75","50","50","0","0","95","","5","10","5","50","70","90",52
"","","","","","","","","","","","","","","","","",53
"","","","","","","","","","","","","","","","","",54
"10","89","55","78","85","4","50","7","3","65","","15","10","2","70","65","90",55
"10","99","","60","70","80","50","20","0.5","60","1","5","10","5","65","75","90",56
"15","90","60","55","80","30","50","10","0","","20","35","10","25","65","90","60",57
"10","95","75","75","90","20","50","","5","60","5","10","20","10","50","70","80",58
"15","99","60","60","70","30","50","35","1","55","10","","20","25","80","52","90",59
"10","90","80","90","90","10","55","40","5","60","20","10","","15","80","80","90",60
"30","99","50","50","80","25","50","30","10","60","30","30","","40","65","50","95",61
"20","50","50","50","50","30","40","15","","50","30","15","20","18","75","50","50",62
"40","50","80","75","60","25","50","50","0","75","40","","30","20","60","70","70",63
"","","","","","","","","","","","","","","","","",64
"5","95","85","70","95","10","50","","2","60","0","15","10","5","40","88","90",65
"","","","","","","","","","","","","","","","","",66
"","","","","","","","","","","","","","","","","",67
"30","90","60","60","70","40","","10","20","99","10","20","30","20","70","80","90",68
"","","","","","","","","","","","","","","","","",69
"","30","40","44","44","88","60","88","90","40","70","88","80","88","88","50","99",70
"10","90","80","60","80","90","50","10","10","60","90","10","10","99","40","","90",71
"","","","","","","","","","","","","","","","","",72
"10","95","80","","85","30","50","30","0","60","5","10","8","10","70","80","90",73
"10","90","70","80","90","","50","15","5","70","5","15","5","5","80","85","90",74
"5","90","30","","50","1","30","1","0","50","0","10","3","1","10","30","45",75
"25","95","70","70","80","30","50","15","5","60","20","20","25","85","90","","80",76
"5","99","30","20","75","10","50","5","5","60","20","10","","10","60","60","80",77
"","","","","","","","","","","","","","","","","",78
"20","80","50","45","85","30","","35","5","55","40","4","25","10","35","45","70",79
"5","80","75","70","","15","50","15","5","60","20","15","10","15","50","60","75",80
"5","","75","80","90","20","50","5","5","55","0","10","5","2","70","70","90",81
"75","85","60","45","","40","50","5","5","55","2","10","5","20","70","80","99",82
"20","90","50","40","80","10","40","10","5","85","10","15","5","2","50","60","",83
"","","","","","","","","","","","","","","","","",84
"35","80","60","40","70","25","50","20","5","","25","20","10","30","70","55","70",85
"","","","","","","","","","","","","","","","","",86
"2","80","40","30","60","5","40","2","2","40","5","2","2","2","60","60","",87
"","","","","","","","","","","","","","","","","",88
"30","75","60","60","70","30","50","30","20","55","20","20","20","20","70","70","",89
"40","90","60","66","90","20","50","35","2","60","33","5","25","","65","70","70",90
"10","99","","40","80","1","40","5","0","30","10","1","5","1","50","70","90",91
"","","","","","","","","","","","","","","","","",92
"","","","","","","","","","","","","","","","","",93
"15","85","50","60","80","10","40","10","2","","1","8","1o","10","70","60","80",94
"30","","75","60","80","20","50","10","5","60","25","25","10","10","70","70","90",95
"15","0","40","40","35","10","40","15","0","","15","20","5","5","60","50","5",96
"","","","","","","","","","","","","","","","","",97
"","","","","","","","","","","","","","","","","",98
"","","","","","","","","","","","","","","","","",99
"","","","","","","","","","","","","","","","","",100
"","","","","","","","","","","","","","","","","",101
"10","90","70","60","70","10","50","20","5","60","10","10","20","5","","70","80",102
"","90","60","60","70","20","50","20","10","60","10","30","30","10","70","70","80",103
"","","","","","","","","","","","","","","","","",104
"25","","80","70","80","35","50","30","10","55","15","30","15","10","65","75","95",105
"","","","","","","","","","","","","","","","","",106
"","","","","","","","","","","","","","","","","",107
"20","99","80","60","80","20","","50","1","60","20","5","5","2","50","80","90",108
"","","","","","","","","","","","","","","","","",109
"25","95","75","75","80","20","50","10","5","","15","15","20","5","60","75","90",110
"40","95","70","80","90","40","50","40","20","70","20","30","30","","80","90","95",111
"15","95","65","60","70","20","50","25","5","55","22","","10","5","58","70","85",112
"30","98","75","70","90","35","50","35","3","55","20","15","","10","60","75","85",113
"30","90","60","60","85","30","50","10","5","60","5","10","10","","60","70","70",114
"","","","","","","","","","","","","","","","","",115
"","","","","","","","","","","","","","","","","",116
"10","85","75","70","75","8","","20","5","55","30","30","15","15","70","65","80",117
"15","90","75","","70","10","50","25","2","60","10","30","10","5","50","65","85",118
"","","","","","","","","","","","","","","","","",119
"10","90","60","60","75","","50","30","5","55","10","20","20","5","60","70","80",120
"7","95","70","80","75","30","50","15","2","60","5","2","5","2","65","75","",121
"25","97","","90","90","5","50","5","1","75","10","20","25","1","90","90","99",122
"","","","","","","","","","","","","","","","","",123
"30","90","","60","75","25","50","20","5","60","30","10","10","5","8","80","85",124
"25","95","65","55","75","45","50","","2","60","30","10","5","15","40","70","90",125
"","","","","","","","","","","","","","","","","",126
"","","","","","","","","","","","","","","","","",127
"10","90","75","75","75","30","50","15","3","60","5","25","10","5","","70","85",128
"20","85","86","87","74","15","50","30","10","55","5","20","35","14","45","","90",129
"10","90","40","40","70","10","50","10","5","65","5","5","20","5","60","","90",130
"","90","60","60","80","10","50","10","5","60","10","30","20","90","70","70","80",131
"20","95","50","50","90","10","50","5","1","60","","10","5","10","50","80","90",132
"1","95","60","51","90","1","50","40","1","","0","5","10","10","51","65","85",133
"","","","","","","","","","","","","","","","","",134
"","","","","","","","","","","","","","","","","",135
"","","","","","","","","","","","","","","","","",136
"1","90","60","60","70","20","50","","1","60","10","5","5","15","50","60","80",137
"5","70","20","60","80","5","50","5","","60","10","20","5","5","30","60","80",138
"10","90","","90","90","5","50","10","2","60","10","2","5","5","50","80","90",139
"","","","","","","","","","","","","","","","","",140
"5","90","65","51","65","20","50","15","1","51","5","10","","5","20","65","80",141
"45","95","65","55","90","30","50","40","10","60","35","","20","25","50","70","80",142
"20","20","60","60","30","20","20","20","10","20","10","50","10","20","70","60","",143
"10","99","60","75","85","10","50","20","1","55","5","2","3","1","50","90","",144
"5","95","85","97","80","1","50","5","5","60","0","","5","5","60","75","90",145
"21","95","60","60","91","20","40","10","1","55","1","30","11","15","","70","90",146
"15","95","70","70","90","10","50","10","5","60","10","","20","10","70","70","80",147
"","","","","","","","","","","","","","","","","",148
"","","","","","","","","","","","","","","","","",149
"","","","","","","","","","","","","","","","","",150
"20","98","85","60","90","10","51","40","1","55","10","10","10","5","","80","95",151
"5","90","60","50","60","30","50","10","1","60","","10","10","5","50","60","80",152
"10","90","60","60","90","5","50","20","5","60","5","25","10","90","80","","75",153
"","80","70","70","70","7","50","5","2","55","2","20","10","10","50","70","70",154
"","","","","","","","","","","","","","","","","",155
"20","95","70","70","85","","50","10","5","60","20","10","15","99","50","80","95",156
"30","95","80","90","95","15","50","5","5","65","10","7","5","","60","85","92",157
"","","","","","","","","","","","","","","","","",158
"20","95","60","70","80","","50","40","10","55","25","5","25","30","60","75","85",159
"","","","","","","","","","","","","","","","","",160
"","","","","","","","","","","","","","","","","",161
"","","","","","","","","","","","","","","","","",162
"5","90","90","","90","5","50","10","5","60","0","10","40","1","70","90","100",163
"","","","","","","","","","","","","","","","","",164
"25","98","65","30","75","10","","40","5","60","15","10","30","20","45","60","80",165
"","","","","","","","","","","","","","","","","",166
"","","","","","","","","","","","","","","","","",167
"30","95","57","","70","15","50","30","1","60","5","3","5","20","50","60","80",168
"30","97","65","60","70","15","50","30","","60","15","18","5","10","75","70","80",169
"25","95","75","60","60","30","50","30","5","60","10","15","10","","70","60","80",170
"","","","","","","","","","","","","","","","","",171
"","","","","","","","","","","","","","","","","",172
"10","90","70","","80","30","50","5","1","60","1","10","20","2","65","70","90",173
"","","","","","","","","","","","","","","","","",174
"3","98","70","60","85","5","50","","1","65","20","10","2","5","60","75","90",175
"","","","","","","","","","","","","","","","","",176
"5","99","90","","85","5","50","5","1","51","2","15","10","5","70","90","95",177
"10","99","75","80","80","5","50","3","1","","10","20","5","2","3","70","85",178
"","","","","","","","","","","","","","","","","",179
"","","","","","","","","","","","","","","","","",180
"75","10","10","25","25","10","10","75","","0","45","75","10","10","10","25","25",181
"0","60","20","50","70","0","40","10","0","","50","2","1","20","10","40","80",182
"20","90","80","75","80","15","50","20","5","","20","15","10","10","70","75","90",183
"","","","","","","","","","","","","","","","","",184
"10","90","70","65","70","40","","20","2","55","7","5","2","5","60","75","80",185
"","","","","","","","","","","","","","","","","",186
"20","90","70","60","75","20","50","10","5","55","20","5","10","","50","60","80",187
"5","","60","60","80","10","50","30","1","55","40","15","10","5","50","50","70",188
"","","","","","","","","","","","","","","","","",189
"15","95","40","70","80","20","50","10","2","60","10","5","","5","60","75","90",190
"","","","","","","","","","","","","","","","","",191
"80","0","0","0","0","80","0","80","90","0","80","80","80","","0","0","0",192
"25","95","80","70","80","","50","25","5","60","5","15","15","5","60","75","90",193
"5","95","80","80","80","5","70","0","0","70","5","5","5","2","80","85","",194
"","","","","","","","","","","","","","","","","",195
"","","","","","","","","","","","","","","","","",196
"10","98","66","60","90","33","50","15","1","60","20","3","","5","85","80","95",197
"","","","","","","","","","","","","","","","","",198
"20","90","60","50","70","20","50","","10","60","5","25","30","10","50","75","80",199
"","99","50","50","80","10","50","0","0","51","0","5","5","1","0","90","90",200
"7","90","65","75","","5","50","5","3","55","10","15","12","2","60","70","95",201
"","","","","","","","","","","","","","","","","",202
"10","99","75","70","80","10","50","0","1","60","","10","5","0","40","80","95",203
"15","95","65","65","80","5","60","10","5","75","20","25","5","10","15","70","",204
"","","","","","","","","","","","","","","","","",205
"3","95","50","15","70","10","","15","3","60","0","0","5","0","50","70","85",206
"15","85","70","","75","15","50","15","5","60","5","10","20","8","60","65","70",207
"15","75","30","65","60","","50","5","0","65","10","25","25","10","55","35","15",208
"","","","","","","","","","","","","","","","","",209
"","90","90","60","90","15","50","8","5","65","10","Under 10","Under 5","5","50","75","90",210
"5","90","50","40","80","10","50","","1","60","95","5","10","2","65","70","85",211
"","","","","","","","","","","","","","","","","",212
"15","95","65","45","75","5","50","5","2","60","","40","20","5","90","65","90",213
"20","95","90","75","80","20","50","10","0","60","0","","10","20","70","75","80",214
"17","55","65","40","70","7","50","","5","60","5","5","7","12","60","73","75",215
"99","95","50","95","95","95","50","90","100","95","100","99","100","100","50","","99",216
"5","99","60","60","85","5","50","","1","60","2","5","2","10","60","80","80",217
"","","","","","","","","","","","","","","","","",218
"","","","","","","","","","","","","","","","","",219
"","95","50","55","75","20","50","10","3","60","5","5","10","5","???","70","90",220
"20","95","60","50","85","30","50","20","5","40","","20","10","10","60","50","80",221
"10","45","","50","40","5","55","30","5","50","15","20","20","5","40","45","65",222
"1","91","65","85","87","","50","10","3","55","0","10","5","15","30","40","90",223
"","","","","","","","","","","","","","","","","",224
"3","95","55","55","80","15","50","7","5","55","0","15","5","","60","70","90",225
"30","98","","70","80","15","50","20","2","60","10","30","10","5","65","65","85",226
"8","99","75","45","80","15","50","10","","60","30","15","5","5","65","80","95",227
"","","","","","","","","","","","","","","","","",228
"20","95","45","70","80","25","50","25","10","60","30","20","15","5","50","","70",229
"5","","60","70","75","10","50","15","1","60","1","5","5","3","60","60","75",230
"0","75","","60","99","5","50","0","0","60","0","1","1","5","0","95","95",231
"","","","","","","","","","","","","","","","","",232
"1","98","","75","90","10","52","2","1","60","1","7","4","2","75","80","85",233
"","","","","","","","","","","","","","","","","",234
"10","99","60","70","90","15","50","10","1","60","20","2","","5","0","80","95",235
"20","95","70","50","80","10","50","30","0","60","30","20","","5","80","60","80",236
"","","","","","","","","","","","","","","","","",237
"","","","","","","","","","","","","","","","","",238
"20","90","54","60","","40","50","0","5","60","20","30","40","10","0","70","80",239
"10","72","65","50","66","13","50","15","","50","20","30","44","5","60","60","75",240
"","","","","","","","","","","","","","","","","",241
"10","95","80","85","85","5","50","5","1","60","5","5","2","5","40","","95",242
"10","99","","75","85","15","50","10","2","60","","10","10","5","75","75","90",243
"","","","","","","","","","","","","","","","","",244
"5","90","46","65","70","20","50","20","2","55","3","54","29","2","40","","80",245
"30","90","","60","70","30","50","10","10","55","10","15","20","5","60","70","90",246
"5","95","65","60","80","1","50","","1","60","0","5-10","5","5","50","65","95",247
"","","","","","","","","","","","","","","","","",248
"0.5","99","60","95","80","0.5","50","5","0.1","55","0","1","1","10","65","95","",249
"10","","65","60","90","20","50","20","5","60","10","10","20","10","60","70","75",250
"20","99","90","80","70","10","50","10","1","","20","20","10","5","90","70","90",251
"5","80","60","50","80","20","40","5","1","40","1","20","1","","50","75","60",252
"15","","95","55","75","5","50","0","1","55","1","10","1","1","50","85","95",253
"15","98","67","60","80","10","","20","2","51","30","20","10","5","55","70","90",254
"30","95","75","70","80","30","50","30","5","60","","10","20","15","80","85","90",255
"","","","","","","","","","","","","","","","","",256
"20","90","80","70","80","15","50","5","2","55","5","5","1","1","75","75","",257
"5","90","60","50","80","5","50","10","1","60","","10","10","10","70","70","90",258
"20","90","60","50","80","20","50","20","5","","10","5","10","5","80","80","90",259
"","","","","","","","","","","","","","","","","",260
"5","90","70","65","","10","50","1","2","50","10","10","5","2","65","60","90",261
"","","","","","","","","","","","","","","","","",262
"25","85","60","75","80","25","50","50","5","60","","29","10","10","","80","90",263
"5","90","30","75","90","10","50","5","5","65","1","10","20","5","80","40","",264
"10","90","65","30","80","30","50","20","7","60","","3","2","5","20","70","85",265
"","","","","","","","","","","","","","","","","",266
"20","98","75","75","90","5","50","5","2","55","10","5","20","","90","80","90",267
"90","95","70","70","80","70","50","90","98","","80","40","98","80","80","80","90",268
"10","90","65","75","85","30","50","10","5","60","15","5","","20","85","80","85",269
"","","","","","","","","","","","","","","","","",270
"","","","","","","","","","","","","","","","","",271
"","","","","","","","","","","","","","","","","",272
"","","","","","","","","","","","","","","","","",273
"","","","","","","","","","","","","","","","","",274
"2","85","70","65","80","20","50","30","0","55","10","5","10","2","40","75","",275
"","","","","","","","","","","","","","","","","",276
"","","","","","","","","","","","","","","","","",277
"30","99","60","90","85","30","","30","05","55","40","10","15","05","80","80","95",278
"","","","","","","","","","","","","","","","","",279
"5","","60","90","95","20","50","8","1","60","18","15","5","2","40","55","90",280
"0","90","50","","80","5","50","10","0","60","0","5","0","0","50","50","80",281
