"task_b_likely","task_b_probable","task_b_highly_unlikely","task_b_almost_certainly","task_b_highly_likely","task_b_chances_are_slight","task_b_better_than_even","task_b_we_believe","task_b_probably_not","task_b_we_doubt","task_b_very_good_chance","task_b_unlikely","task_b_about_even","task_b_almost_no_chance","task_b_probably","task_b_little_chance","task_b_improbable","id"
"45","35","5","60","50","5","40","50","5","30","55","5","40","2","35","15","",1
"","","","","","","","","","","","","","","","","",2
"","","","","","","","","","","","","","","","","",3
"","","","","","","","","","","","","","","","","",4
"60","55","","90","90","30","60","70","5","20","70","10","55","5","60","10","10",5
"","","","","","","","","","","","","","","","","",6
"60","70","60","60","90","55","55","80","40","40","55","30","50","","50","30","40",7
"","","","","","","","","","","","","","","","","",8
"40","50","2","60","65","10","60","45","15","5","","2","40","2","30","30","2",9
"","","","","","","","","","","","","","","","","",10
"","","","","","","","","","","","","","","","","",11
"","","","","","","","","","","","","","","","","",12
"30","20","2","70","40","7","25","20","10","12","80","10","22","5","25","","0",13
"","","","","","","","","","","","","","","","","",14
"35","20","2","50","1","1","30","25","10","5","","5","5","1","30","5","2",15
"","","","","","","","","","","","","","","","","",16
"","","","","","","","","","","","","","","","","",17
"","","","","","","","","","","","","","","","","",18
"","","","","","","","","","","","","","","","","",19
"","","","","","","","","","","","","","","","","",20
"50","20","1","80","60","10","","5","2","15","60","3","50","0","25","5","0",21
"","","","","","","","","","","","","","","","","",22
"","","","","","","","","","","","","","","","","",23
"","","","","","","","","","","","","","","","","",24
"50","40","5","70","60","","30","60","5","10","60","0","30","5","30","5","10",25
"90","90","2","","96","20","95","80","8","10","95","7","50","2","90","10","8",26
"60","70","5","90","75","51","55","60","40","25","80","10","50","5","","20","5",27
"","","","","","","","","","","","","","","","","",28
"","","","","","","","","","","","","","","","","",29
"","","","","","","","","","","","","","","","","",30
"","","","","","","","","","","","","","","","","",31
"75","60","5","90","85","","55","60","5","40","90","10","50","3","60","3","5",32
"","","","","","","","","","","","","","","","","",33
"75","80","","95","80","2","60","70","2","30","75","20","50","5","65","15","5",34
"","","","","","","","","","","","","","","","","",35
"70","60","10","90","","25","70","65","10","50","65","10","30","5","40","15","8",36
"","","","","","","","","","","","","","","","","",37
"","","","","","","","","","","","","","","","","",38
"","","","","","","","","","","","","","","","","",39
"55","60","1","95","90","5","55","75","1","5","75","5","50","1","50","5","",40
"52","55","","70","70","4","55","32","2","3","65","8","50","1","55","5","6",41
"","","","","","","","","","","","","","","","","",42
"","","","","","","","","","","","","","","","","",43
"75","70","5","95","90","2","55","85","20","5","85","20","50","2","70","10","",44
"","","","","","","","","","","","","","","","","",45
"30","20","1","60","50","5","25","20","","10","40","3","20","1","25","5","8",46
"60","50","10","80","80","10","60","60","10","10","","5","50","5","60","10","5",47
"","","","","","","","","","","","","","","","","",48
"25","30","2","75","","5","55","40","5","15","60","4","54","1","20","3","0",49
"75","70","5","95","85","5","60","75","10","35","","10","53","3","75","10","5",50
"50","30","0","80","85","30","45","20","25","35","70","20","40","0","","15","20",51
"","","","","","","","","","","","","","","","","",52
"","","","","","","","","","","","","","","","","",53
"","15","","15","","","","","15","","50","","","","","5","",54
"70","50","10","90","85","10","80","60","5","5","85","10","","3","20","12","12",55
"","","","","","","","","","","","","","","","","",56
"60","60","","50","50","10","25","40","10","5","70","20","20","2","50","10","10",57
"30","50","5","60","50","20","100","40","10","15","70","10","30","","50","10","10",58
"70","65","5","80","85","10","60","80","15","30","90","20","","5","70","5","20",59
"","45","2","90","90","20","65","90","1","10","80","1","50","1","60","5","0",60
"80","75","5","80","90","20","60","75","10","40","80","10","50","10","70","","25",61
"","","","","","","","","","","","","","","","","",62
"70","","3","90","80","40","51","65","7","10","95","5","50","2","60","15","20",63
"65","60","2","85","80","15","65","","10","25","80","10","50","1","70","5","20",64
"85","65","8","","90","15","20","87","2","5","85","12","17","1","45","10","1",65
"","","","","","","","","","","","","","","","","",66
"80","","3","98","90","15","55","70","30","40","90","5","50","2","65","5","5",67
"50","40","","60","60","10","15","40","5","20","50","10","30","5","50","15","10",68
"30","40","1","95","90","20","50","20","10","2","80","3","50","1","","5","0",69
"70","20","0","95","50","2","50","60","0","1","80","5","50","2","50","","",70
"60","40","5","90","80","15","60","50","30","20","90","10","50","5","60","","20",71
"","","","","","","","","","","","","","","","","",72
"50","","10","60","70","15","60","55","15","20","60","5","55","5","50","15","10",73
"","","","","","","","","","","","","","","","","",74
"","","","","","","","","","","","","","","","","",75
"","","","","","","","","","","","","","","","","",76
"","","","","","","","","","","","","","","","","",77
"60","60","10","85","80","15","","70","20","40","90","30","25","0","75","5","20",78
"70","50","5","95","75","12","65","85","10","50","80","15","","5","50","10","5",79
"60","40","10","90","80","20","60","80","5","30","","10","40","5","50","10","10",80
"40","25","15","50","35","5","50","30","10","10","40","5","","5","25","5","10",81
"","","","","","","","","","","","","","","","","",82
"","","","","","","","","","","","","","","","","",83
"","","","","","","","","","","","","","","","","",84
"","","","","","","","","","","","","","","","","",85
"","","","","","","","","","","","","","","","","",86
"50","80","5","90","","10","30","60","5","30","70","30","55","5","75","20","20",87
"70","60","99","90","99","","60","55","99","80","60","99","50","99","60","90","99",88
"","","","","","","","","","","","","","","","","",89
"","","","","","","","","","","","","","","","","",90
"","","","","","","","","","","","","","","","","",91
"","","","","","","","","","","","","","","","","",92
"","","","","","","","","","","","","","","","","",93
"","","","","","","","","","","","","","","","","",94
"60","60","70","60","80","40","20","10","70","30","60","","30","90","60","80","90",95
"40","40","","60","60","10","30","20","5","5","40","10","20","2","50","10","2",96
"","","","","","","","","","","","","","","","","",97
"","","","","","","","","","","","","","","","","",98
"33","30","2","80","75","12","20","35","8","5","70","10","1","","55","22","9",99
"80","90","0.5","99","99","2","80","90","1","20","90","1","80","0.5","","5","0",100
"","","","","","","","","","","","","","","","","",101
"30","25","5","37","30","15","38","35","8","18","45","10","36","","28","12","7",102
"","","","","","","","","","","","","","","","","",103
"","","","","","","","","","","","","","","","","",104
"55","60","1","","75","5","55","50","1","2","75","1","50","1","60","5","2",105
"80","70","10","90","80","3","70","50","","5","60","20","50","3","60","5","5",106
"","","","","","","","","","","","","","","","","",107
"70","65","45","90","82","","99","85","30","50","90","50","35","5","75","40","45",108
"90","60","3","90","","20","20","80","10","5","90","5","20","1","60","15","5",109
"65","60","3","80","","10","5","30","3","10","50","5","2","2","40","5","5",110
"80","70","5","90","","5","80","70","3","10","70","5","50","5","80","10","5",111
"60","","5","99","90","20","55","15","10","5","92","10","50","0","20","10","2",112
"","","","","","","","","","","","","","","","","",113
"","","","","","","","","","","","","","","","","",114
"75","60","1","90","90","10","60","","10","10","70","10","50","2","60","5","10",115
"","","","","","","","","","","","","","","","","",116
"","","","","","","","","","","","","","","","","",117
"","","","","","","","","","","","","","","","","",118
"33","27","4","68","66","13","","36","10","15","47","8","23","3","28","5","9",119
"65","60","","98","95","12","65","40","20","40","70","5","45","15","65","12","30",120
"70","20","10","95","80","30","20","60","15","30","","10","50","10","70","10","20",121
"50","","85","55","40","85","40","70","60","90","70","85","30","98","40","90","98",122
"70","50","5","2","80","7","","60","5","2","80","2","50","5","60","10","2",123
"","","","","","","","","","","","","","","","","",124
"","","","","","","","","","","","","","","","","",125
"50","65","2","85","80","1","51","55","4","5","70","3","50","1","52","10","",126
"","","","","","","","","","","","","","","","","",127
"","","","","","","","","","","","","","","","","",128
"","","","","","","","","","","","","","","","","",129
"","","","","","","","","","","","","","","","","",130
"","","","","","","","","","","","","","","","","",131
"55","60","5","95","75","35","80","55","10","25","90","20","45","2","55","","15",132
"","","","","","","","","","","","","","","","","",133
"60","","70","85","80","20","40","86","20","20","80","20","50","10","40","20","20",134
"","60","3","90","85","12","60","40","2","20","87","5","40","2","40","10","5",135
"60","","10","85","45","15","3","75","25","15","80","8","45","2","40","10","1",136
"","","","","","","","","","","","","","","","","",137
"","","","","","","","","","","","","","","","","",138
"","","","","","","","","","","","","","","","","",139
"40","60","5","80","90","15","60","50","3","10","85","5","40","2","30","","4",140
"70","70","10","90","85","30","60","60","5","20","","10","50","5","65","10","30",141
"45","","2","75","55","20","50","40","15","10","65","10","40","5","35","55","5",142
"70","","10","95","75","5","60","70","5","20","70","5","50","1","60","10","5",143
"","","","","","","","","","","","","","","","","",144
"","","","","","","","","","","","","","","","","",145
"","","","","","","","","","","","","","","","","",146
"","","","","","","","","","","","","","","","","",147
"50","55","5","95","","45","55","60","10","20","75","30","50","3","65","15","15",148
"","","","","","","","","","","","","","","","","",149
"","","","","","","","","","","","","","","","","",150
"","","","","","","","","","","","","","","","","",151
"","","","","","","","","","","","","","","","","",152
"","","","","","","","","","","","","","","","","",153
"60","60","5","90","90","15","55","60","85","40","80","15","","10","75","15","35",154
"50","50","10","90","80","1","60","60","2","5","70","2","","1","60","1","5",155
"","","","","","","","","","","","","","","","","",156
"80","50","10","90","90","40","60","100","30","10","70","20","","1","50","10","30",157
"","","","","","","","","","","","","","","","","",158
"","65","10","90","80","10","65","75","1","50","80","15","50","1","75","10","10",159
"60","70","3","90","80","15","50","50","","5","70","2","50","5","60","5","10",160
"","","","","","","","","","","","","","","","","",161
"","","","","","","","","","","","","","","","","",162
"","","","","","","","","","","","","","","","","",163
"","","","","","","","","","","","","","","","","",164
"70","","5","95","80","25","30","70","20","30","80","10","15","2","60","20","10",165
"60","40","15","95","70","10","50","90","10","5","80","10","30","1","80","","2",166
"50","45","70","95","90","9","60","85","2","20","80","1","50","","50","5","0",167
"","","","","","","","","","","","","","","","","",168
"","","","","","","","","","","","","","","","","",169
"","","","","","","","","","","","","","","","","",170
"60","55","3","","70","15","51","20","10","12","65","5","50","1","30","25","4",171
"","","","","","","","","","","","","","","","","",172
"50","45","10","60","","20","70","50","15","10","70","30","50","15","30","20","25",173
"8","5","7","13","","3","12","1","10","11","2","6","15","14","4","9","7",174
"","","","","","","","","","","","","","","","","",175
"80","90","15","95","70","","60","80","3","1","90","15","50","5","80","10","1",176
"","","","","","","","","","","","","","","","","",177
"40","40","0","100","75","5","60","30","0","0","75","0","50","0","","5","0",178
"","","","","","","","","","","","","","","","","",179
"","","","","","","","","","","","","","","","","",180
"","","","","","","","","","","","","","","","","",181
"","","","","","","","","","","","","","","","","",182
"25","30","30","","40","10","60","5","20","3","80","10","50","2","35","20","10",183
"","","","","","","","","","","","","","","","","",184
"","","","","","","","","","","","","","","","","",185
"","","","","","","","","","","","","","","","","",186
"60","55","1","85","70","2","40","55","6","5","","3","30","1","55","5","2",187
"","","","","","","","","","","","","","","","","",188
"85","75","5","95","90","10","60","65","15","","80","10","50","5","75","10","5",189
"50","55","10","80","50","5","55","40","","15","50","10","50","2","50","5","10",190
"","","","","","","","","","","","","","","","","",191
"","","","","","","","","","","","","","","","","",192
"","","","","","","","","","","","","","","","","",193
"","","","","","","","","","","","","","","","","",194
"55","40","5","95","","10","40","50","20","20","70","20","40","5","50","20","20",195
"55","50","5","80","70","","35","55","10","5","65","5","40","5","50","35","10",196
"50","100","50","70","90","40","30","40","","40","50","50","30","40","90","40","50",197
"","","","","","","","","","","","","","","","","",198
"60","40","","80","50","15","30","70","10","5","70","10","50","3","30","20","5",199
"","","","","","","","","","","","","","","","","",200
"","","","","","","","","","","","","","","","","",201
"65","75","40","90","80","9","60","95","10","50","85","20","50","","70","15","5",202
"","","","","","","","","","","","","","","","","",203
"","","","","","","","","","","","","","","","","",204
"58","45","3","88","","5","51","55","5","20","90","5","52","1","50","10","11",205
"","","","","","","","","","","","","","","","","",206
"","","","","","","","","","","","","","","","","",207
"","","","","","","","","","","","","","","","","",208
"50","","60","0","20","80","20","20","80","0","50","80","20","10","70","50","80",209
"","","","","","","","","","","","","","","","","",210
"15","50","10","75","85","25","74","75","15","15","85","25","","10","","10","5",211
"","","","","","","","","","","","","","","","","",212
"","50","85","90","85","20","75","70","60","70","80","50","40","10","60","30","50",213
"","","","","","","","","","","","","","","","","",214
"40","35","1","15","35","5","40","45","1","","15","1","25","1","25","5","1",215
"45","30","5","45","45","10","25","15","5","1","50","20","20","5","40","","2",216
"","","","","","","","","","","","","","","","","",217
"35","10","60","50","20","","15","20","5","15","45","15","30","60","50","15","50",218
"50","70","","80","80","2","60","60","10","20","80","5","50","2","60","2","15",219
"65","50","0","70","65","10","15","55","0","","70","0","45","0","65","15","20",220
"50","60","30","80","70","20","","55","30","40","70","20","50","10","60","30","40",221
"60","60","10","","80","30","40","50","50","20","90","40","30","20","50","30","40",222
"40","40","5","60","","5","60","60","5","10","45","8","30","2","25","5","5",223
"","","","","","","","","","","","","","","","","",224
"","","","","","","","","","","","","","","","","",225
"65","70","5","90","85","40","30","60","1","5","60","5","","5","50","10","5",226
"50","60","12","90","85","10","50","60","30","50","","15","60","5","20","25","10",227
"60","60","5","5","50","15","20","","5","5","45","5","10","5","60","15","10",228
"","","","","","","","","","","","","","","","","",229
"60","40","10","100","90","","55","25","2","15","70","10","50","5","30","20","1",230
"","","","","","","","","","","","","","","","","",231
"","","","","","","","","","","","","","","","","",232
"","","","","","","","","","","","","","","","","",233
"","","","","","","","","","","","","","","","","",234
"","","","","","","","","","","","","","","","","",235
"","","","","","","","","","","","","","","","","",236
"","","","","","","","","","","","","","","","","",237
"55","60","","95","65","5","55","50","10","20","60","20","50","1","50","5","1",238
"","","","","","","","","","","","","","","","","",239
"73","35","15","80","75","30","55","65","5","","78","25","50","5","70","5","10",240
"20","18","2","30","25","10","20","15","5","10","30","5","15","2","","5","2",241
"","","","","","","","","","","","","","","","","",242
"","","","","","","","","","","","","","","","","",243
"","","","","","","","","","","","","","","","","",244
"","","","","","","","","","","","","","","","","",245
"","","","","","","","","","","","","","","","","",246
"60","50","5","90","50","20","5","80","","10","70","20","","5","70","30","30",247
"","","","","","","","","","","","","","","","","",248
"80","70","2","90","85","8","60","50","10","20","80","5","","2","60","15","0",249
"","","","","","","","","","","","","","","","","",250
"","","","","","","","","","","","","","","","","",251
"70","70","","80","80","10","55","70","30","30","70","10","50","2","40","5","30",252
"45","50","1","80","60","7","55","40","3","10","60","5","","1","50","10","5",253
"60","30","15","90","70","25","","65","20","10","75","18","50","7","65","10","3",254
"","","","","","","","","","","","","","","","","",255
"25","20","3","35","30","10","40","20","3","10","40","15","15","","20","10","3",256
"55","50","3","","80","10","75","30","3","10","75","5","40","1","55","10","10",257
"","","","","","","","","","","","","","","","","",258
"","75","12","95","80","5","65","60","40","35","80","20","50","5","70","5","5",259
"","","","","","","","","","","","","","","","","",260
"60","50","1","75","","1","75","60","5","1","75","1","50","1","50","1","1",261
"","","","","","","","","","","","","","","","","",262
"40","38","","90","70","20","50","60","6","10","80","7","35","1","30","5","3",263
